"","Group.1","x","quadrat_abund[-1, 2]","plot_presence[-1, 1]"
"1","ACHTHU",0.00882352941176471,0.392156862745098,4.90196078431373
"2","AGOGLA",0.00245098039215686,0.245098039215686,1.96078431372549
"3","ALYDES",0.0529411764705882,2.40196078431373,3.92156862745098
"4","AMEUTA",0.0509803921568627,0.441176470588235,1.96078431372549
"5","ANTDIM",0.00931372549019608,0.735294117647059,5.88235294117647
"6","ARADIV",0.000490196078431373,0.0490196078431373,0.980392156862745
"7","ARAHOL",0.0156862745098039,1.22549019607843,13.7254901960784
"8","ARASPA",0.00147058823529412,0.147058823529412,0.980392156862745
"9","AREKIN",0.078921568627451,2.99019607843137,14.7058823529412
"10","ARTARB",1.60441176470588,12.6960784313725,43.1372549019608
"11","ARTTRIV",1.72941176470588,9.31372549019608,36.2745098039216
"12","ARTTRIW",0.462745098039216,2.84313725490196,14.7058823529412
"13","ASTCAL",0.00147058823529412,0.147058823529412,1.96078431372549
"14","ASTFIL",0.00931372549019608,0.490196078431373,6.86274509803922
"15","ASTOOP",0.0205882352941176,0.882352941176471,5.88235294117647
"16","ASTPUR",0.0240196078431373,2.20588235294118,17.6470588235294
"17","BALSAG",0.0235294117647059,0.637254901960784,6.86274509803922
"18","BROTEC",0.939705882352941,14.3137254901961,47.0588235294118
"19","CASLIN",0.000490196078431373,0.0490196078431373,0.980392156862745
"20","CAUCRA",0.000490196078431373,0.0490196078431373,0.980392156862745
"21","CHADOU",0.000490196078431373,0.0490196078431373,0.980392156862745
"22","CHOTEN",0.000980392156862745,0.0980392156862745,0.980392156862745
"23","CHRDEP",0.00343137254901961,0.0980392156862745,0.980392156862745
"24","CHRVIS",0.140686274509804,1.96078431372549,9.80392156862745
"25","COLPAR",0.0215686274509804,1.07843137254902,3.92156862745098
"26","COLTIN",0.00686274509803922,0.53921568627451,2.94117647058824
"27","CREACU",0.00490196078431373,0.343137254901961,5.88235294117647
"28","CRYCIN",0.000980392156862745,0.0980392156862745,0.980392156862745
"29","CRYFLA",0.025,1.61764705882353,8.82352941176471
"30","CRYWAT",0.00392156862745098,0.294117647058824,1.96078431372549
"31","DESPIN",0.0323529411764706,1.56862745098039,13.7254901960784
"32","ELYELY",0.139705882352941,6.91176470588235,48.0392156862745
"33","EPHVIR",0.158333333333333,1.51960784313725,17.6470588235294
"34","ERIAPH",0.0053921568627451,0.343137254901961,3.92156862745098
"35","ERIARG",0.00147058823529412,0.147058823529412,0.980392156862745
"36","ERIBAI",0.000980392156862745,0.0980392156862745,1.96078431372549
"37","ERICAE",0.16078431372549,3.92156862745098,17.6470588235294
"38","ERICON",0.000980392156862745,0.0980392156862745,0.980392156862745
"39","ERILAN",0.00588235294117647,0.294117647058824,1.96078431372549
"40","ERIMIC",0.0196078431372549,1.07843137254902,10.7843137254902
"41","ERINAU",0.0333333333333333,0.245098039215686,4.90196078431373
"42","ERIOVA",0.000490196078431373,0.0490196078431373,0.980392156862745
